project,plh,loccate,lat,lon
Serangoon North Vista,No,Mature,1.30627534823257,103.790363200126
Sin Ming Residences,No,Mature,1.35555419862284,103.838953075945
Stirling Horizon,Yes,Plus,1.39963005110234,103.913254844387
Sun Plaza Spring,No,Mature,1.35818355846513,103.948632507904
Sun Sails,No,Non-mature,1.44239862156949,103.821826618463
Taman Jurong Skyline,No,Standard,1.30315428073007,103.829577548446
Tampines GreenEmerald,No,Mature,1.3394096558958,103.937963243696
Tampines GreenGlen,No,Mature,1.36929541697129,103.934575622413
Tampines GreenQuartz,No,Mature,1.34196126109547,103.937911739214
Tampines GreenJade,No,Mature,1.34134640673224,103.935395200155
Tampines GreenSpring,No,Mature,1.35445354491042,103.940862799115
Tampines GreenTopaz,No,Mature,1.34319783017004,103.940044257699
Tampines Greencrest,No,Mature,1.37077629232465,103.93537002153
Tampines Greenlade,No,Mature,1.3678950289159,103.934282230812
Tampines Greenopal,No,Mature,1.3375485267252,103.938924349477
Tanglin Halt Cascadia,Yes,Mature,1.30163123909487,103.795387142787
Tanglin Halt Courtyard,Yes,Mature,1.30005817218833,103.798353981634
Tanjong Rhu Parc Front,Yes,Prime,1.29650050598839,103.878208370651
Tanjong Rhu Riverfront I & II,Yes,Mature,1.30058712235481,103.881442536598
Tanjong Tree Residences,No,Non-mature,1.34705131810249,103.886605963448
Tanjong Tree Residences @ Hougang,No,Non-mature,1.34705131810249,103.886605963448
Hougang Olive,No,Non-mature,1.34826512356759,103.888225866113
Teban Breeze,No,Non-mature,1.32221816738912,103.745058666424
Telok Blangah Beacon,No,Mature,1.27324992671971,103.808428967832
Toh Guan Grove,No,Non-mature,1.34038774442846,103.74553747063
Towner Breeze,Yes,Plus,1.3226902229318,103.858582587596
Towner Residences,No,Mature,1.32064374207695,103.856652950525
Ulu Pandan Glades,Yes,Mature,1.30897009123107,103.787328414056
Ulu Pandan Vista,Yes,Mature,1.30897009123107,103.787328414056
West BrickVille @ Bukit Batok,No,Standard,1.34567395098752,103.739501967519
West Glades @ Bukit Batok,No,Non-mature,1.34567395098752,103.739501967519
West Hill @ Bukit Batok,No,Non-mature,1.35918980820173,103.743954320972
Woodgrove Ascent,No,Non-mature,1.43198368054543,103.78231151896
Woodgrove Edge,No,Non-mature,1.42820425219685,103.784256415302
Woodlands Beacon,No,Non-mature,1.43536275832996,103.782517311075
Urban Rise @ Woodlands,No,Non-mature,1.43690078725739,103.783595621435
Woodlands North Verge,No,Standard,1.45040408597633,103.784706643694
Woodlands South Plains,No,Non-mature,1.43499001602245,103.786982122747
Yio Chu Kang Beacon,No,Mature,1.3830203830033,103.841780326812
Yishun Beacon,No,Non-mature,1.42330007851372,103.836242396587
Yishun Boardwalk,No,Non-mature,1.43366921594049,103.847136480213
Grove Spring @ Yishun,No,Non-mature,1.43127040238114,103.849381189766
