year,month,ym_str,town,project,plh,loccate,waitime,nrooms,nunits,naplcnts,avgrate,rate_senior,rate_1st,rate_single,rate_2nd,sellprice_low,sellprice_high,est_resaleprice_low,est_resaleprice_high
2019,11,2019-11,Tampines,Tampines GreenSpring,No,Mature,39,3,90,673,7.5 ,,3.0 ,,104.5 ,281000,328000 ,410000,443000
2019,11,2019-11,Tampines,Tampines GreenSpring,No,Mature,39,4,218,3257,14.9 ,,11.3 ,,90.2 ,394000,480000 ,530000,615000
2019,11,2019-11,Tampines,Tampines GreenSpring,No,Mature,39,5,193,3890,20.2 ,,11.7 ,,193.2 ,508000,606000 ,645000,728000
2019,11,2019-11,Ang Mo Kio,Yio Chu Kang Beacon,No,Mature,48,2,132,305,2.3 ,2.8 ,0.3 ,,15.0 ,170000,253000 ,,
2019,11,2019-11,Ang Mo Kio,Yio Chu Kang Beacon,No,Mature,48,3,87,334,3.8 ,,1.8 ,,47.0 ,332000,391000 ,,
2019,11,2019-11,Ang Mo Kio,Yio Chu Kang Beacon,No,Mature,48,4,235,3806,16.2 ,,13.2 ,,77.7 ,451000,563000 ,535000,655000
2020,2,2020-02,Sembawang,Canberra Vista,No,Non-mature,55,2,692,2232,3.2 ,3.5 ,0.4 ,5.5 ,0.7 ,89000,141000 ,,
2020,2,2020-02,Sembawang,Canberra Vista,No,Non-mature,55,3,124,847,6.8 ,,3.7 ,,14.1 ,177000,210000 ,,
2020,2,2020-02,Sembawang,Canberra Vista,No,Non-mature,55,4,385,3048,7.9 ,,6.8 ,,14.4 ,272000,320000 ,396000,425000
2020,2,2020-02,Sembawang,Canberra Vista,No,Non-mature,55,5,266,3738,14.1 ,,10.6 ,,33.9 ,350000,406000 ,390000,480888
2020,2,2020-02,Toa Payoh,Kim Keat Ripples / Toa Payoh Ridge,No,Mature,57,2,315,1321,4.2 ,4.2 ,,,,90000,184000 ,,
2020,2,2020-02,Toa Payoh,Kim Keat Ripples / Toa Payoh Ridge,No,Mature,57,3,102,935,9.2 ,,4.3 ,,103.8 ,351000,446000 ,,
2020,2,2020-02,Toa Payoh,Kim Keat Ripples / Toa Payoh Ridge,No,Mature,57,4,1211,11684,9.6 ,,7.6 ,,48.7 ,395000,666000 ,555000,778000
2020,8,2020-08,Choa Chu Kang,Keat Hong Verge,No,Non-mature,30,2,163,552,3.4 ,3.0 ,1.1 ,6.5 ,2.2 ,99000,143000 ,,
2020,8,2020-08,Choa Chu Kang,Keat Hong Verge,No,Non-mature,30,3,118,263,2.2 ,,1.5 ,,4.1 ,164000,214000 ,308000,325000
2020,8,2020-08,Choa Chu Kang,Keat Hong Verge,No,Non-mature,30,4,290,683,2.4 ,,2.1 ,,8.4 ,253000,326000 ,355000,450000
2020,8,2020-08,Tengah,Parc Residences @ Tengah,No,Non-mature,60,2,480,946,2.0 ,1.8 ,0.6 ,3.8 ,0.3 ,108000,157000 ,,
2020,8,2020-08,Tengah,Parc Residences @ Tengah,No,Non-mature,60,3,99,363,3.7 ,,2.5 ,,6.5 ,198000,248000 ,,
2020,8,2020-08,Tengah,Parc Residences @ Tengah,No,Non-mature,60,4,281,1436,5.1 ,,4.3 ,,9.6 ,303000,364000 ,370000,455000
2020,8,2020-08,Tengah,Parc Residences @ Tengah,No,Non-mature,60,5,184,1284,7.0 ,,5.3 ,,16.5 ,418000,489000 ,490000,575000
2020,8,2020-08,Woodlands,Champions Bliss / Urbanville @ Woodlands,No,Non-mature,59,2,846,2198,2.6 ,2.0 ,0.6 ,5.5 ,0.6 ,90000,162000 ,,
2020,8,2020-08,Woodlands,Champions Bliss / Urbanville @ Woodlands,No,Non-mature,59,3,144,896,6.2 ,,3.6 ,,12.5 ,184000,228000 ,290000,320000
2020,8,2020-08,Woodlands,Champions Bliss / Urbanville @ Woodlands,No,Non-mature,59,4,706,4125,5.8 ,,4.9 ,,11.2 ,276000,381000 ,375000,450000
2020,8,2020-08,Woodlands,Champions Bliss / Urbanville @ Woodlands,No,Non-mature,59,5,438,4297,9.8 ,,6.8 ,,26.8 ,405000,516000 ,473000,530000
2020,8,2020-08,Ang Mo Kio,Kebun Baru Edge,No,Mature,54,4,240,2568,10.7 ,,8.6 ,,50.5 ,423000,550000 ,578000,721000
2020,8,2020-08,Ang Mo Kio,Kebun Baru Edge,No,Mature,54,5,140,3006,21.5 ,,12.6 ,,189.3 ,571000,725000 ,890000,970888
2020,8,2020-08,Bishan,Bishan Towers,No,Mature,57,2,120,482,4.0 ,4.5 ,0.6 ,20.0 ,,176000,277000 ,,
2020,8,2020-08,Bishan,Bishan Towers,No,Mature,57,3,80,319,4.0 ,,1.7 ,,48.3 ,302000,408000 ,,
2020,8,2020-08,Bishan,Bishan Towers,No,Mature,57,4,272,1689,6.2 ,,4.3 ,,43.5 ,484000,617000 ,580000,615000
2020,8,2020-08,Geylang,Dakota One,No,Mature,57,3,87,787,9.0 ,,5.2 ,,88.0 ,355000,421000 ,,
2020,8,2020-08,Geylang,Dakota One,No,Mature,57,4,334,6394,19.1 ,,14.8 ,,106.0 ,523000,617000 ,650000,675000
2020,8,2020-08,Pasir Ris,Costa Grove,No,Mature,63,2,212,690,3.3 ,6.2 ,0.2 ,10.2 ,,137000,198000 ,,
2020,8,2020-08,Pasir Ris,Costa Grove,No,Mature,63,3,160,436,2.7 ,,0.9 ,,37.1 ,245000,317000 ,368000,404000
2020,8,2020-08,Pasir Ris,Costa Grove,No,Mature,63,4,373,1771,4.7 ,,3.6 ,,26.9 ,374000,460000 ,477000,580000
2020,8,2020-08,Pasir Ris,Costa Grove,No,Mature,63,5,325,2369,7.3 ,,4.0 ,,71.5 ,493000,581000 ,590000,690000
2020,8,2020-08,Tampines,Tampines Greencrest / Tampines Greenlade / Tampines Greenopal,No,Mature,44,3,182,486,2.7 ,,1.3 ,,28.1 ,205000,265000 ,345000,408000
2020,8,2020-08,Tampines,Tampines Greencrest / Tampines Greenlade / Tampines Greenopal,No,Mature,44,4,871,1864,2.1 ,,1.7 ,,10.4 ,311000,390000 ,385000,575000
2020,8,2020-08,Tampines,Tampines Greencrest / Tampines Greenlade / Tampines Greenopal,No,Mature,44,5,717,1402,2.0 ,,1.3 ,,14.1 ,423000,517000 ,465000,650000
2020,11,2020-11,Sembawang,Sun Sails,No,Non-mature,55,2,220,873,4.0 ,2.2 ,0.8 ,10.3 ,0.4 ,92000,122000 ,,
2020,11,2020-11,Sembawang,Sun Sails,No,Non-mature,55,3,84,359,4.3 ,,3.0 ,,7.3 ,163000,189000 ,,
2020,11,2020-11,Sembawang,Sun Sails,No,Non-mature,55,4,238,964,4.1 ,,3.7 ,,6.3 ,260000,302000 ,375000,388000
2020,11,2020-11,Sembawang,Sun Sails,No,Non-mature,55,5,184,1060,5.8 ,,4.6 ,,12.3 ,336000,388000 ,435000,485000
2020,11,2020-11,Tengah,Garden Court @ Tengah / Garden Terrace @ Tengah,No,Non-mature,40,2,464,640,1.4 ,0.7 ,0.1 ,3.0 ,0.1 ,108000,150000 ,,
2020,11,2020-11,Tengah,Garden Court @ Tengah / Garden Terrace @ Tengah,No,Non-mature,40,3,218,277,1.3 ,,0.8 ,,2.5 ,194000,233000 ,,
2020,11,2020-11,Tengah,Garden Court @ Tengah / Garden Terrace @ Tengah,No,Non-mature,40,4,570,1495,2.6 ,,2.1 ,,13.4 ,288000,366000 ,380000,455000
2020,11,2020-11,Tengah,Garden Court @ Tengah / Garden Terrace @ Tengah,No,Non-mature,40,5,327,1343,4.1 ,,3.1 ,,23.8 ,394000,487000 ,515000,580000
2020,11,2020-11,Toa Payoh,Bartley Beacon / ParkView @ Bidadari,No,Mature,54,3,184,401,2.2 ,,1.2 ,,21.9 ,324000,397000 ,358000,460000
2020,11,2020-11,Toa Payoh,Bartley Beacon / ParkView @ Bidadari,No,Mature,54,4,910,3598,4.0 ,,3.2 ,,18.1 ,466000,598000 ,510000,610000
2020,11,2020-11,Toa Payoh,Bartley Beacon / ParkView @ Bidadari,No,Mature,54,5,144,2170,15.1 ,,7.1 ,,171.4 ,627000,726000 ,695000,862000
2020,11,2020-11,Bishan,Bishan Ridges,No,Mature,67,2,156,698,4.5 ,4.5 ,,,,121000,179000 ,,
2020,11,2020-11,Bishan,Bishan Ridges,No,Mature,67,3,124,822,6.6 ,,2.9 ,,80.5 ,374000,470000 ,,
2020,11,2020-11,Bishan,Bishan Ridges,No,Mature,67,4,1222,8635,7.1 ,,5.1 ,,45.3 ,528000,679000 ,445000,715000
2020,11,2020-11,Tampines,Tampines GreenEmerald,No,Mature,52,2,146,353,2.4 ,3.2 ,0.2 ,,13.5 ,130000,192000 ,,
2020,11,2020-11,Tampines,Tampines GreenEmerald,No,Mature,52,4,360,1441,4.0 ,,3.1 ,,20.7 ,334000,410000 ,515000,588000
2020,11,2020-11,Tampines,Tampines GreenEmerald,No,Mature,52,5,244,1126,4.6 ,,3.0 ,,36.3 ,460000,538000 ,560000,650000
2021,2,2021-02,Bukit Batok,West Hill @ Bukit Batok,No,Non-mature,63,2,163,603,3.7 ,2.5 ,0.8 ,10.2 ,1.5 ,101000,144000 ,,
2021,2,2021-02,Bukit Batok,West Hill @ Bukit Batok,No,Non-mature,63,3,81,212,2.6 ,,1.6 ,,5.1 ,175000,221000 ,,
2021,2,2021-02,Bukit Batok,West Hill @ Bukit Batok,No,Non-mature,63,4,387,615,1.6 ,,1.3 ,,3.4 ,260000,334000 ,368000,450000
